Linux 6.8.0-60-generic (luna) 	07/02/2025 	_x86_64_	(224 CPU)

12:42:19 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:42:19 PM  115    8.75    0.00    0.13    0.00    0.00    0.00    0.00    0.00    0.00   91.12
12:42:19 PM  116    5.95    0.00    0.09    0.00    0.00    0.00    0.00    0.00    0.00   93.96
12:42:19 PM  117    7.26    0.00    0.09    0.00    0.00    0.00    0.00    0.00    0.00   92.64
12:42:19 PM  118    5.62    0.00    0.08    0.00    0.00    0.00    0.00    0.00    0.00   94.30
12:42:19 PM  119    6.80    0.00    0.08    0.00    0.00    0.00    0.00    0.00    0.00   93.12
12:42:19 PM  120    5.52    0.00    0.09    0.00    0.00    0.00    0.00    0.00    0.00   94.39
12:42:19 PM  121    6.67    0.00    0.07    0.00    0.00    0.00    0.00    0.00    0.00   93.25
12:42:19 PM  122    5.58    0.00    0.08    0.00    0.00    0.00    0.00    0.00    0.00   94.34
12:42:19 PM  123    6.12    0.00    0.06    0.00    0.00    0.00    0.00    0.00    0.00   93.82
12:42:19 PM  124    5.44    0.00    0.08    0.00    0.00    0.00    0.00    0.00    0.00   94.48
12:42:19 PM  125    6.28    0.00    0.06    0.00    0.00    0.00    0.00    0.00    0.00   93.66
12:42:19 PM  126    5.42    0.00    0.08    0.00    0.00    0.00    0.00    0.00    0.00   94.50
12:42:19 PM  127    5.91    0.00    0.05    0.00    0.00    0.00    0.00    0.00    0.00   94.04
12:42:19 PM  128    5.37    0.00    0.09    0.00    0.00    0.00    0.00    0.00    0.00   94.54
12:42:19 PM  129    6.21    0.00    0.06    0.00    0.00    0.00    0.00    0.00    0.00   93.73
12:42:19 PM  130    5.38    0.00    0.08    0.00    0.00    0.00    0.00    0.00    0.00   94.54
12:42:19 PM  131    5.79    0.00    0.05    0.00    0.00    0.00    0.00    0.00    0.00   94.16
12:42:19 PM  132    5.38    0.00    0.09    0.00    0.00    0.00    0.00    0.00    0.00   94.53
12:42:19 PM  133    5.97    0.00    0.06    0.00    0.00    0.00    0.00    0.00    0.00   93.98
12:42:19 PM  134    5.33    0.00    0.08    0.00    0.00    0.00    0.00    0.00    0.00   94.58
12:42:19 PM  135    5.92    0.00    0.06    0.00    0.00    0.00    0.00    0.00    0.00   94.02
12:42:19 PM  136    5.32    0.00    0.09    0.00    0.00    0.00    0.00    0.00    0.00   94.59
12:42:19 PM  137    5.99    0.00    0.06    0.00    0.00    0.00    0.00    0.00    0.00   93.95
12:42:19 PM  138    5.32    0.00    0.08    0.00    0.00    0.00    0.00    0.00    0.00   94.60
12:42:19 PM  139    6.04    0.00    0.06    0.00    0.00    0.00    0.00    0.00    0.00   93.90
12:42:19 PM  140    5.37    0.00    0.08    0.00    0.00    0.00    0.00    0.00    0.00   94.54
12:42:19 PM  141    5.89    0.00    0.06    0.00    0.00    0.00    0.00    0.00    0.00   94.05
12:42:19 PM  142    5.43    0.00    0.09    0.00    0.00    0.00    0.00    0.00    0.00   94.48
12:42:19 PM  143    5.75    0.00    0.05    0.00    0.00    0.00    0.00    0.00    0.00   94.20
12:42:19 PM  144    5.30    0.00    0.08    0.00    0.00    0.00    0.00    0.00    0.00   94.62
12:42:19 PM  145    6.12    0.00    0.06    0.00    0.00    0.00    0.00    0.00    0.00   93.82
12:42:19 PM  146    5.32    0.00    0.08    0.00    0.00    0.00    0.00    0.00    0.00   94.60
12:42:19 PM  147    5.80    0.00    0.05    0.00    0.00    0.00    0.00    0.00    0.00   94.15
12:42:19 PM  148    5.34    0.00    0.08    0.00    0.00    0.00    0.00    0.00    0.00   94.57
12:42:19 PM  149    6.02    0.00    0.06    0.00    0.00    0.00    0.00    0.00    0.00   93.92
12:42:19 PM  150    5.28    0.00    0.09    0.00    0.00    0.00    0.00    0.00    0.00   94.63
12:42:19 PM  151    5.89    0.00    0.05    0.00    0.00    0.00    0.00    0.00    0.00   94.06
12:42:19 PM  152    5.37    0.00    0.09    0.00    0.00    0.00    0.00    0.00    0.00   94.54
12:42:19 PM  153    6.00    0.00    0.06    0.00    0.00    0.00    0.00    0.00    0.00   93.94
12:42:19 PM  154    5.31    0.00    0.09    0.00    0.00    0.00    0.00    0.00    0.00   94.60
12:42:19 PM  155    5.72    0.00    0.05    0.00    0.00    0.00    0.00    0.00    0.00   94.22
12:42:19 PM  156    5.34    0.00    0.08    0.00    0.00    0.00    0.00    0.00    0.00   94.58
12:42:19 PM  157    5.84    0.00    0.05    0.00    0.00    0.00    0.00    0.00    0.00   94.10
